,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Year,Month,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
229123,Person search,0.0,,51.536951,-0.119518,Male,18-24,Not Stated (NS),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.119518 51.536951),1652.0,1653.0,E01002709,Islington 019C,5835.0,2.0,209936.341567993,2676.43093293859,E01002709
229126,Person search,0.0,,51.385156,-0.071379,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.071379 51.385156),963.0,964.0,E01000981,Croydon 017B,19959.0,7.0,442186.943244934,3794.17272676425,E01000981
229180,Person search,0.0,,51.50394,-0.241294,Male,18-24,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.241294 51.50394),2707.0,2708.0,E01001864,Hammersmith and Fulham 006E,8604.0,3.0,189411.209487915,2347.45877183285,E01001864
229200,Person and Vehicle search,0.0,,51.605006,-0.095537,Male,25-34,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.095537 51.605006),1045.0,1046.0,E01002090,Haringey 005A,4418.0,2.0,593682.391296387,4082.8888876984,E01002090
229218,Person search,0.0,,51.517162,-0.154291,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.154291 51.517162),5377.0,5378.0,E01004714,Westminster 011B,24181.0,8.0,873229.905105591,4841.10927854841,E01004714
229364,Person and Vehicle search,0.0,,51.560979,-0.252728,Male,over 34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.252728 51.560979),502.0,503.0,E01000510,Brent 014C,7979.0,3.0,462882.860397339,4346.19716176199,E01000510
229419,Person and Vehicle search,0.0,,51.652621,-0.167919,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.167919 51.652621),162.0,163.0,E01000167,Barnet 002A,8854.0,3.0,1556015.04477692,6450.92966617031,E01000167
229649,Person search,0.0,,51.527158,0.095377,Male,10-17,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,10,POINT (0.095377 51.527158),88.0,89.0,E01000092,Barking and Dagenham 019E,6348.0,2.0,6819191.90125275,21367.5750204486,E01000092
229651,Person search,0.0,,51.527158,0.095377,Male,10-17,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,10,POINT (0.095377 51.527158),88.0,89.0,E01000092,Barking and Dagenham 019E,6348.0,2.0,6819191.90125275,21367.5750204486,E01000092
229693,Person and Vehicle search,0.0,,51.549323,-0.453136,Male,18-24,Asian or Asian British - Indian (A1),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.453136 51.549323),1464.0,1465.0,E01002513,Hillingdon 013D,21967.0,7.0,1457992.52841187,5863.62429870708,E01002513
