,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Further_outcome,Year,Month,season,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
179665,Person search,0.0,,51.573671,-0.225991,,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
179667,Person search,0.0,,51.573671,-0.225991,Male,25-34,Black or Black British - African (B2),Black,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
179668,Person search,0.0,,51.573671,-0.225991,Male,over 34,White - White British (W1),White,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
180779,Person and Vehicle search,0.0,,51.601192,-0.234045,Male,over 34,Not Stated (NS),Asian,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,6,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
180781,Person and Vehicle search,0.0,,51.601192,-0.234045,Male,25-34,Not Stated (NS),Asian,Articles for use in criminal damage,Offender given penalty notice,,,1,2016,6,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
180782,Person and Vehicle search,0.0,,51.601192,-0.234045,Male,25-34,Not Stated (NS),Asian,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,6,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
180928,Person search,0.0,,51.582939,-0.22703,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
181071,Person search,0.0,,51.576637,-0.239038,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Other,Controlled drugs,Suspect summonsed to court,,,1,2016,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
181416,Person search,0.0,,51.5833,-0.22296,Female,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given drugs possession warning,,,1,2016,6,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
181423,Person search,0.0,,51.5833,-0.22296,Male,over 34,White - White British (W1),White,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
181767,Person and Vehicle search,0.0,,51.577136,-0.2316,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.2316 51.577136),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
181771,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,18-24,Not Stated (NS),White,Controlled drugs,Offender given penalty notice,,,1,2016,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
182944,Person search,0.0,,51.582812,-0.229922,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given drugs possession warning,,,1,2016,6,2,POINT (-0.229922 51.582812),309.0,310.0,E01000314,Barnet 032F,23679.0,8.0,637288.758010864,4384.14786611985,E01000314
182957,Person search,0.0,,51.582939,-0.22703,Male,10-17,Not Stated (NS),Black,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
182959,Person search,0.0,,51.582939,-0.22703,Male,18-24,Chinese or other ethnic group - Chinese (O1),Black,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
183488,Person search,0.0,,51.582939,-0.22703,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
183958,Person search,0.0,,51.585631,-0.230794,Male,over 34,Not Stated (NS),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,6,2,POINT (-0.230794 51.585631),304.0,305.0,E01000309,Barnet 031D,20046.0,7.0,745335.344039917,4383.89608689771,E01000309
184867,Person search,0.0,,51.582939,-0.22703,Male,25-34,Mixed - Any other Mixed ethnic background (M9),White,Controlled drugs,Offender given drugs possession warning,,,1,2016,6,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
186580,Person search,0.0,,51.5833,-0.22296,Male,25-34,White - White British (W1),White,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
187642,Person and Vehicle search,0.0,,51.586498,-0.222114,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.222114 51.586498),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
187953,Person search,0.0,,51.577583,-0.229028,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.229028 51.577583),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
187994,Person search,0.0,,51.577583,-0.229028,Female,25-34,White - White British (W1),White,Controlled drugs,Offender given drugs possession warning,,,1,2016,6,2,POINT (-0.229028 51.577583),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
188218,Person search,0.0,,51.587017,-0.230293,Male,over 34,Not Stated (NS),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,6,2,POINT (-0.230293 51.587017),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
188447,Person search,0.0,,51.585631,-0.230794,Male,over 34,White - White British (W1),White,Controlled drugs,Offender given drugs possession warning,,,1,2016,6,2,POINT (-0.230794 51.585631),304.0,305.0,E01000309,Barnet 031D,20046.0,7.0,745335.344039917,4383.89608689771,E01000309
188522,Person search,0.0,,51.583129,-0.22353,Male,18-24,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,6,2,POINT (-0.22353 51.583129),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
188640,Person search,0.0,,51.577757,-0.235776,Male,over 34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,6,2,POINT (-0.235776 51.577757),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
188641,Person search,0.0,,51.577757,-0.235776,Male,25-34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,6,2,POINT (-0.235776 51.577757),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
188900,Person search,0.0,,51.577607,-0.218737,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.218737 51.577607),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
189368,Person search,0.0,,51.590288,-0.22123,Male,over 34,Black or Black British - African (B2),Black,Controlled drugs,Nothing found - no further action,,,0,2016,6,2,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
189562,Person search,0.0,,51.5833,-0.22296,Male,over 34,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given drugs possession warning,,,1,2016,7,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
190588,Person search,0.0,,51.577607,-0.218737,Male,over 34,Mixed - White and Asian (M3),Asian,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.218737 51.577607),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
191084,Person and Vehicle search,0.0,,51.587017,-0.230293,Male,over 34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Suspect arrested,,,1,2016,7,2,POINT (-0.230293 51.587017),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
191108,Person search,0.0,,51.575631,-0.223029,Male,10-17,Black or Black British - Caribbean (B1),Black,Articles for use in criminal damage,Suspect arrested,,,1,2016,7,2,POINT (-0.223029 51.575631),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
191110,Person search,0.0,,51.577607,-0.218737,Male,10-17,Black or Black British - African (B2),Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.218737 51.577607),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
192938,Person search,0.0,,51.577757,-0.235776,Male,10-17,White - White British (W1),Other,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.235776 51.577757),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
193214,Person search,0.0,,51.573671,-0.225991,Male,18-24,Mixed - Any other Mixed ethnic background (M9),Black,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
193238,Person search,0.0,,51.577668,-0.231666,Male,10-17,White - White British (W1),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.231666 51.577668),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
193240,Person search,0.0,,51.577668,-0.231666,Male,10-17,White - White British (W1),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.231666 51.577668),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
193247,Person and Vehicle search,0.0,,51.577668,-0.231666,Male,18-24,White - White British (W1),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.231666 51.577668),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
193248,Person and Vehicle search,0.0,,51.577668,-0.231666,Male,18-24,White - White British (W1),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.231666 51.577668),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
193463,Person search,0.0,,51.582939,-0.22703,Male,over 34,Black or Black British - African (B2),Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
193465,Person search,0.0,,51.582939,-0.22703,Male,over 34,Mixed - Any other Mixed ethnic background (M9),Asian,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
193618,Person search,0.0,,51.601192,-0.234045,Male,25-34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Suspect arrested,,,1,2016,7,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
193809,Person search,0.0,,51.591318,-0.220944,Male,over 34,White - White British (W1),White,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.220944 51.591318),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
194069,Person and Vehicle search,0.0,,51.581098,-0.246313,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.246313 51.581098),303.0,304.0,E01000308,Barnet 036D,7151.0,3.0,1364094.1416626,7445.11114516892,E01000308
194072,Person and Vehicle search,0.0,,51.581098,-0.246313,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Articles for use in criminal damage,Offender given drugs possession warning,,,1,2016,7,2,POINT (-0.246313 51.581098),303.0,304.0,E01000308,Barnet 036D,7151.0,3.0,1364094.1416626,7445.11114516892,E01000308
194073,Person and Vehicle search,0.0,,51.581098,-0.246313,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.246313 51.581098),303.0,304.0,E01000308,Barnet 036D,7151.0,3.0,1364094.1416626,7445.11114516892,E01000308
194126,Person search,0.0,,51.573794,-0.230604,Male,over 34,White - White British (W1),White,Controlled drugs,Offender given drugs possession warning,,,1,2016,7,2,POINT (-0.230604 51.573794),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
194343,Person and Vehicle search,0.0,,51.577136,-0.2316,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Suspect summonsed to court,,,1,2016,7,2,POINT (-0.2316 51.577136),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
195169,Person and Vehicle search,0.0,,51.582939,-0.22703,Male,18-24,Not Stated (NS),Black,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
195543,Person search,0.0,,51.596555,-0.226515,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given drugs possession warning,,,1,2016,7,2,POINT (-0.226515 51.596555),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
195544,Person search,0.0,,51.596555,-0.226515,Male,25-34,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.226515 51.596555),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
195617,Person search,0.0,,51.573794,-0.230604,Male,over 34,Black or Black British - Caribbean (B1),Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.230604 51.573794),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
195796,Person search,0.0,,51.576637,-0.239038,Male,18-24,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Suspect arrested,,,1,2016,7,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
195797,Person search,0.0,,51.576637,-0.239038,Male,25-34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Suspect arrested,,,1,2016,7,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
196077,Person search,0.0,,51.596555,-0.226515,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.226515 51.596555),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
196078,Person search,0.0,,51.596555,-0.226515,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Suspect arrested,,,1,2016,7,2,POINT (-0.226515 51.596555),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
197737,Person search,0.0,,51.5833,-0.22296,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given drugs possession warning,,,1,2016,7,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
197748,Person search,0.0,,51.5833,-0.22296,Male,18-24,Not Stated (NS),White,Controlled drugs,Offender given drugs possession warning,,,1,2016,7,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
197754,Person search,0.0,,51.5833,-0.22296,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Other,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
198887,Person search,0.0,,51.590659,-0.226123,Male,over 34,Black or Black British - Any other Black ethnic background (B9),Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,7,2,POINT (-0.226123 51.590659),239.0,240.0,E01000244,Barnet 032D,18293.0,6.0,573826.639297485,7078.93659219137,E01000244
199885,Person search,0.0,,51.601192,-0.234045,Male,18-24,Not Stated (NS),Black,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
199886,Person search,0.0,,51.601192,-0.234045,Male,18-24,Not Stated (NS),Black,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
199887,Person search,0.0,,51.601192,-0.234045,Male,10-17,Not Stated (NS),Black,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
199888,Person search,0.0,,51.601192,-0.234045,Male,18-24,Not Stated (NS),Black,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
199889,Person search,0.0,,51.582939,-0.22703,Male,18-24,Not Stated (NS),Black,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
201322,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Nothing found - no further action,,,0,2016,7,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
201948,Person and Vehicle search,0.0,,51.577583,-0.229028,Male,18-24,White - White British (W1),White,Controlled drugs,Nothing found - no further action,,,0,2016,8,2,POINT (-0.229028 51.577583),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
202522,Person and Vehicle search,0.0,,51.577757,-0.235776,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Nothing found - no further action,,,0,2016,8,2,POINT (-0.235776 51.577757),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
202600,Person search,0.0,,51.578863,-0.229253,Male,18-24,White - White Irish (W2),White,Articles for use in criminal damage,Suspect arrested,,,1,2016,8,2,POINT (-0.229253 51.578863),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
203618,Person search,0.0,,51.577607,-0.218737,Female,25-34,Asian or Asian British - Any other Asian ethnic background (A9),White,Articles for use in criminal damage,Article found - Detailed outcome unavailable,,,1,2016,8,2,POINT (-0.218737 51.577607),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
203626,Person search,0.0,,51.577607,-0.218737,Female,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Nothing found - no further action,,,0,2016,8,2,POINT (-0.218737 51.577607),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
203627,Person and Vehicle search,0.0,,51.577607,-0.218737,Male,18-24,Chinese or other ethnic group - Any other ethnic group (O9),Asian,Controlled drugs,Offender given drugs possession warning,,,1,2016,8,2,POINT (-0.218737 51.577607),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
203778,Person search,0.0,,51.5833,-0.22296,Male,25-34,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given drugs possession warning,,,1,2016,8,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
204083,Person and Vehicle search,0.0,,51.587853,-0.219578,Male,18-24,Not Stated (NS),Asian,Controlled drugs,Suspect arrested,,,1,2016,8,2,POINT (-0.219578 51.587853),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
205146,Person search,0.0,,51.575385,-0.220426,Male,10-17,Asian or Asian British - Pakistani (A2),Asian,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,8,2,POINT (-0.220426 51.575385),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
206263,Person and Vehicle search,0.0,,51.590288,-0.22123,Male,18-24,White - White British (W1),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,8,2,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
206330,Person search,0.0,,51.590709,-0.228821,Male,over 34,White - White British (W1),White,Articles for use in criminal damage,Suspect arrested,,,1,2016,8,2,POINT (-0.228821 51.590709),239.0,240.0,E01000244,Barnet 032D,18293.0,6.0,573826.639297485,7078.93659219137,E01000244
206687,Person and Vehicle search,0.0,,51.573671,-0.225991,Male,25-34,White - Any other White ethnic background (W9),White,Controlled drugs,Suspect summonsed to court,,,1,2016,8,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
206714,Person and Vehicle search,0.0,,51.573671,-0.225991,Male,18-24,White - Any other White ethnic background (W9),Other,Controlled drugs,Suspect summonsed to court,,,1,2016,8,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
207338,Person search,0.0,,51.576637,-0.239038,Male,over 34,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given drugs possession warning,,,1,2016,8,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
207858,Person search,0.0,,51.582812,-0.229922,Male,25-34,White - Any other White ethnic background (W9),White,Controlled drugs,Suspect arrested,,,1,2016,8,2,POINT (-0.229922 51.582812),309.0,310.0,E01000314,Barnet 032F,23679.0,8.0,637288.758010864,4384.14786611985,E01000314
208195,Person and Vehicle search,0.0,,51.582939,-0.22703,Male,over 34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Suspect arrested,,,1,2016,8,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
208442,Person search,0.0,,51.601192,-0.234045,Male,over 34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,8,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
208987,Person and Vehicle search,0.0,,51.574388,-0.227074,Male,25-34,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,1,2016,8,2,POINT (-0.227074 51.574388),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
210225,Person search,0.0,,51.573794,-0.230604,Male,18-24,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,8,2,POINT (-0.230604 51.573794),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
210231,Person search,0.0,,51.58937,-0.220601,Male,over 34,White - White British (W1),White,Controlled drugs,Suspect arrested,,,1,2016,8,2,POINT (-0.220601 51.58937),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
210320,Person search,0.0,,51.58243,-0.230832,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Nothing found - no further action,,,0,2016,8,2,POINT (-0.230832 51.58243),309.0,310.0,E01000314,Barnet 032F,23679.0,8.0,637288.758010864,4384.14786611985,E01000314
210322,Person search,0.0,,51.582812,-0.229922,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Other,Controlled drugs,Nothing found - no further action,,,0,2016,8,2,POINT (-0.229922 51.582812),309.0,310.0,E01000314,Barnet 032F,23679.0,8.0,637288.758010864,4384.14786611985,E01000314
210324,Person search,0.0,,51.582812,-0.229922,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given drugs possession warning,,,1,2016,8,2,POINT (-0.229922 51.582812),309.0,310.0,E01000314,Barnet 032F,23679.0,8.0,637288.758010864,4384.14786611985,E01000314
210345,Person search,0.0,,51.585656,-0.22411,Male,,Not Stated (NS),Black,Controlled drugs,Nothing found - no further action,,,0,2016,8,2,POINT (-0.22411 51.585656),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
210351,Person search,0.0,,51.585656,-0.22411,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Nothing found - no further action,,,0,2016,8,2,POINT (-0.22411 51.585656),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
210379,Person search,0.0,,51.583129,-0.22353,Male,18-24,Black or Black British - Caribbean (B1),Black,Articles for use in criminal damage,Suspect arrested,,,1,2016,8,2,POINT (-0.22353 51.583129),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
212555,Person and Vehicle search,0.0,,51.584965,-0.212373,Male,over 34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,8,2,POINT (-0.212373 51.584965),231.0,232.0,E01000236,Barnet 034A,23808.0,8.0,589603.116470337,3638.41217587178,E01000236
212556,Person search,0.0,,51.584965,-0.212373,Male,over 34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Articles for use in criminal damage,Nothing found - no further action,,,0,2016,8,2,POINT (-0.212373 51.584965),231.0,232.0,E01000236,Barnet 034A,23808.0,8.0,589603.116470337,3638.41217587178,E01000236
