,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Further_outcome,Year,Month,season,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
981921,Person search,0.0,,51.582939,-0.22703,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Controlled drugs,A no further action disposal,,,1,2020,7,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
982374,Person search,0.0,,51.580224,-0.243186,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Controlled drugs,A no further action disposal,,,1,2020,7,2,POINT (-0.243186 51.580224),308.0,309.0,E01000313,Barnet 036F,14409.0,5.0,561841.417999268,5210.28681705047,E01000313
982386,Person search,0.0,,51.580224,-0.243186,Male,18-24,Other ethnic group - Not stated,,Controlled drugs,A no further action disposal,,,1,2020,7,2,POINT (-0.243186 51.580224),308.0,309.0,E01000313,Barnet 036F,14409.0,5.0,561841.417999268,5210.28681705047,E01000313
983939,Person search,0.0,,51.580224,-0.243186,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Offensive weapons,A no further action disposal,,,1,2020,7,2,POINT (-0.243186 51.580224),308.0,309.0,E01000313,Barnet 036F,14409.0,5.0,561841.417999268,5210.28681705047,E01000313
984264,Person search,0.0,,51.58937,-0.220601,Male,25-34,Asian/Asian British - Any other Asian background,Other,Controlled drugs,A no further action disposal,,,1,2020,7,2,POINT (-0.220601 51.58937),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
984265,Person and Vehicle search,0.0,,51.58937,-0.220601,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Controlled drugs,Arrest,,,1,2020,7,2,POINT (-0.220601 51.58937),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
984277,Person and Vehicle search,0.0,,51.58937,-0.220601,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Controlled drugs,Penalty Notice for Disorder,,,1,2020,7,2,POINT (-0.220601 51.58937),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
984548,Person and Vehicle search,0.0,,51.588241,-0.226766,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Controlled drugs,Community resolution,,,1,2020,7,2,POINT (-0.226766 51.588241),239.0,240.0,E01000244,Barnet 032D,18293.0,6.0,573826.639297485,7078.93659219137,E01000244
984576,Person and Vehicle search,0.0,,51.58852,-0.223839,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Controlled drugs,Arrest,,,1,2020,7,2,POINT (-0.223839 51.58852),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
984909,Person search,0.0,,51.585155,-0.219525,Male,over 34,Other ethnic group - Not stated,White,Stolen goods,A no further action disposal,,,1,2020,7,2,POINT (-0.219525 51.585155),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
985611,Person search,0.0,,51.590211,-0.223225,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Evidence of offences under the Act,Arrest,,,1,2020,8,2,POINT (-0.223225 51.590211),239.0,240.0,E01000244,Barnet 032D,18293.0,6.0,573826.639297485,7078.93659219137,E01000244
985640,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,25-34,Mixed/Multiple ethnic groups - White and Asian,Asian,Controlled drugs,Arrest,,,1,2020,8,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
985691,Person search,0.0,,51.575385,-0.220426,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Stolen goods,A no further action disposal,,,1,2020,8,2,POINT (-0.220426 51.575385),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
986116,Person search,0.0,,51.575385,-0.220426,Male,25-34,Asian/Asian British - Pakistani,Asian,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.220426 51.575385),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
986338,Person and Vehicle search,0.0,,51.580918,-0.22835,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Arrest,,,1,2020,8,2,POINT (-0.22835 51.580918),309.0,310.0,E01000314,Barnet 032F,23679.0,8.0,637288.758010864,4384.14786611985,E01000314
987020,Person search,0.0,,51.581098,-0.246313,Female,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.246313 51.581098),303.0,304.0,E01000308,Barnet 036D,7151.0,3.0,1364094.1416626,7445.11114516892,E01000308
987058,Person search,0.0,,51.582939,-0.22703,Male,18-24,Other ethnic group - Not stated,Other,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
987640,Person and Vehicle search,0.0,,51.575385,-0.220426,Male,18-24,Other ethnic group - Not stated,Asian,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.220426 51.575385),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
987975,Person and Vehicle search,0.0,,51.582939,-0.22703,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Stolen goods,Arrest,,,1,2020,8,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
988856,Person search,0.0,,51.577607,-0.218737,Female,18-24,White - Any other White background,White,Stolen goods,A no further action disposal,,,1,2020,8,2,POINT (-0.218737 51.577607),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
990530,Person search,0.0,,51.590288,-0.22123,Male,18-24,White - Any other White background,White,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
